Crop,Irrigation,N,P,K,pH,Notes
Dill,Micro Irrigation,62.4,39.7,57.4,6.15,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Lateral Move Irrigation,61.7,23.6,40.9,6.29,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Flood Irrigation,60.5,39.4,56.0,7.13,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Lateral Move Irrigation,49.2,34.3,31.7,6.77,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Sprinkler Irrigation,46.6,36.7,52.3,6.63,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Drip Irrigation,58.8,26.8,47.0,6.3,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Subsurface Textile Irrigation,45.0,31.0,44.3,6.59,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Surface Irrigation,56.7,26.0,33.3,6.55,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Micro Irrigation,49.8,26.1,52.9,6.42,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Subsurface Textile Irrigation,30.1,29.4,41.6,6.28,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Drip Irrigation,53.8,37.7,32.4,6.49,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Center-pivot Irrigation,55.9,32.8,53.1,7.21,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,50.8,28.3,42.6,6.91,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,61.6,27.6,40.1,6.88,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Lateral Move Irrigation,34.2,37.3,42.2,6.31,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,45.6,31.5,59.4,7.41,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Micro Irrigation,64.8,24.0,58.4,7.1,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Center-pivot Irrigation,62.9,27.7,59.8,6.19,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Micro Irrigation,33.6,29.1,51.9,7.3,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Sprinkler Irrigation,49.2,31.3,40.2,7.09,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,36.0,21.4,35.7,7.18,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Furrow Irrigation,44.9,29.5,33.8,6.24,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Sprinkler Irrigation,42.4,38.4,32.9,6.68,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Micro Irrigation,57.9,20.3,39.1,6.65,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Subsurface Textile Irrigation,36.4,35.3,30.4,7.31,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Furrow Irrigation,39.2,25.6,56.4,6.02,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Lateral Move Irrigation,32.8,39.0,47.7,6.46,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,50.0,27.2,46.8,7.25,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Surface Irrigation,63.4,23.1,43.7,6.9,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Center-pivot Irrigation,63.9,23.3,36.0,7.23,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Furrow Irrigation,64.2,27.7,54.2,7.04,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Furrow Irrigation,51.0,27.2,58.7,6.77,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Drip Irrigation,41.0,32.5,40.4,7.0,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Drip Irrigation,53.7,39.6,30.1,6.05,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Surface Irrigation,63.2,24.9,44.3,6.88,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Sprinkler Irrigation,65.8,25.8,35.0,6.76,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,63.7,37.5,49.6,6.6,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,64.2,33.9,55.0,6.97,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Micro Irrigation,67.1,32.7,40.3,6.61,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Surface Irrigation,42.6,32.9,46.5,7.49,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,42.4,38.3,49.2,6.79,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Flood Irrigation,43.1,22.5,44.7,7.02,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Center-pivot Irrigation,64.7,26.7,55.8,6.32,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,37.6,30.8,50.3,6.66,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Center-pivot Irrigation,65.1,21.4,33.9,7.18,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Surface Irrigation,50.7,21.6,48.2,6.92,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Subsurface Textile Irrigation,46.7,36.8,44.9,7.36,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Sprinkler Irrigation,58.4,30.2,39.0,7.02,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Flood Irrigation,34.7,21.1,46.4,6.88,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Drip Irrigation,67.3,23.3,46.5,6.4,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,61.8,38.8,40.7,6.82,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Subsurface Textile Irrigation,44.8,24.0,40.0,6.66,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Furrow Irrigation,44.3,22.7,42.2,7.2,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Center-pivot Irrigation,44.7,20.6,37.7,6.95,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Flood Irrigation,58.8,31.4,52.8,7.16,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Sprinkler Irrigation,48.2,30.2,47.5,6.11,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Lateral Move Irrigation,52.7,33.7,44.2,6.42,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Drip Irrigation,56.5,20.6,35.6,6.61,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Drip Irrigation,47.2,37.7,46.1,7.04,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Surface Irrigation,60.0,27.0,49.3,6.76,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Sprinkler Irrigation,52.4,23.1,33.0,7.18,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Furrow Irrigation,69.0,24.1,51.5,6.73,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Subsurface Textile Irrigation,34.4,39.7,60.0,6.35,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Flood Irrigation,57.7,31.6,57.9,6.58,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Center-pivot Irrigation,56.1,24.1,57.0,6.62,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,32.6,35.7,57.9,7.05,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Micro Irrigation,40.2,28.0,35.0,6.91,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,45.8,35.0,30.7,7.12,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Micro Irrigation,38.4,28.6,47.9,6.5,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Rotary Irrigation,41.5,34.5,51.5,6.39,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Lateral Move Irrigation,61.3,24.7,56.6,6.67,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dill,Micro Irrigation,41.0,25.9,42.8,6.17,Fertilizer plan for Dill; adjust based on soil test and crop stage.
Dry Chillies,Furrow Irrigation,93.4,42.1,41.8,6.74,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,75.9,45.6,66.9,6.22,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,93.4,59.9,62.3,7.23,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,88.9,52.2,31.8,6.96,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,43.3,31.0,66.9,6.26,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,43.9,27.7,69.3,6.51,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,94.4,58.8,37.2,7.44,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,49.4,57.7,39.2,6.94,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,97.1,59.7,56.8,6.73,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,90.7,35.6,34.4,7.43,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Sprinkler Irrigation,91.9,56.1,70.5,6.9,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,71.7,30.9,51.8,7.35,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,88.6,34.9,73.7,6.16,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,44.0,31.0,56.8,7.31,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Center-pivot Irrigation,86.1,45.6,73.0,7.33,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Furrow Irrigation,41.6,38.7,71.5,6.42,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Center-pivot Irrigation,70.5,37.3,44.9,6.24,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Sprinkler Irrigation,61.3,51.2,79.7,6.42,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Furrow Irrigation,56.6,48.8,68.2,7.44,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Sprinkler Irrigation,61.0,22.9,33.0,6.08,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Furrow Irrigation,78.4,35.1,55.1,6.52,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,57.4,34.5,63.0,7.3,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,80.2,25.5,37.6,6.93,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,78.1,41.9,42.5,6.35,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Center-pivot Irrigation,87.6,25.1,67.0,7.24,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,67.6,34.2,54.8,7.13,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Furrow Irrigation,67.9,38.1,77.6,6.73,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,68.1,47.5,76.9,6.66,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,55.3,34.0,44.3,7.35,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,59.3,26.0,67.2,6.8,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,52.5,36.7,53.3,6.62,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,69.2,22.7,61.6,6.56,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,85.8,37.8,41.0,7.35,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,85.8,47.3,46.6,6.72,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,61.0,59.4,37.1,7.21,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,80.7,58.7,65.8,7.3,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,98.1,57.0,34.7,6.21,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,98.3,52.5,55.9,6.47,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,96.5,34.7,72.5,7.07,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,56.3,36.8,35.0,6.03,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,85.4,50.6,64.5,6.25,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,92.7,20.4,74.1,6.93,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,62.7,42.0,67.3,6.56,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Furrow Irrigation,65.5,53.4,49.7,6.38,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,83.0,54.4,41.3,6.02,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,85.8,22.7,74.6,7.23,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,91.4,29.7,55.3,6.32,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,71.8,53.7,30.4,6.42,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,46.1,20.0,54.9,6.01,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,79.6,48.5,51.8,6.4,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,43.0,26.0,65.9,6.57,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Center-pivot Irrigation,92.8,52.9,55.8,6.85,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,50.6,49.2,33.4,6.7,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Sprinkler Irrigation,89.4,46.2,55.1,6.33,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Furrow Irrigation,45.1,53.8,49.8,6.11,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,50.6,38.6,43.8,6.02,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,66.9,57.9,44.1,6.37,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,67.3,28.7,73.9,7.44,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,88.1,49.3,48.5,6.74,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,43.3,53.1,55.7,6.67,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,61.0,59.6,30.1,6.77,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,75.0,48.0,38.0,6.09,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Sprinkler Irrigation,85.1,41.3,47.0,7.09,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,45.3,31.0,77.8,7.44,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,80.9,42.0,61.4,6.39,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,94.3,35.4,55.8,7.23,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,85.1,53.1,67.6,6.51,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Sprinkler Irrigation,45.6,42.1,59.7,6.68,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,91.0,36.7,49.7,6.31,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,96.0,32.6,32.6,7.29,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,43.1,57.0,72.9,6.74,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,87.2,33.4,41.1,6.87,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,92.9,56.5,76.1,6.96,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,54.8,24.0,31.0,6.82,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Sprinkler Irrigation,95.4,31.8,79.9,6.67,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,67.5,58.3,68.7,6.89,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,54.7,59.9,34.9,6.62,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,44.5,32.3,69.3,6.5,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,69.9,38.3,37.1,7.37,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,51.8,22.2,43.9,7.46,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,53.4,54.0,74.5,7.0,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,46.8,29.5,48.2,7.35,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,92.2,22.6,50.9,7.25,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,75.3,58.7,76.6,7.02,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,67.0,32.9,57.4,7.12,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,48.1,27.6,62.4,6.22,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,74.7,42.1,55.5,6.72,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Surface Irrigation,49.8,34.7,45.8,6.07,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Sprinkler Irrigation,97.7,34.2,72.5,6.28,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Rotary Irrigation,67.3,46.4,45.3,6.82,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,68.5,26.1,62.7,6.63,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,75.0,59.3,69.4,7.22,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Subsurface Textile Irrigation,95.3,50.4,71.7,6.15,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,90.0,32.6,72.1,7.09,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Drip Irrigation,69.7,30.6,39.2,6.75,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Flood Irrigation,81.7,20.2,48.8,7.1,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Furrow Irrigation,84.5,37.5,30.8,6.52,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,80.3,31.8,31.4,6.51,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Micro Irrigation,68.9,57.6,30.8,7.03,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Dry Chillies,Lateral Move Irrigation,98.7,55.4,72.8,6.27,Fertilizer plan for Dry Chillies; adjust based on soil test and crop stage.
Garlic,Rotary Irrigation,72.0,60.4,55.4,6.13,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Lateral Move Irrigation,57.7,54.8,31.3,7.03,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,81.8,65.5,38.5,6.55,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,97.1,68.2,41.2,6.71,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Center-pivot Irrigation,87.0,45.4,37.0,7.4,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,64.1,58.8,30.3,6.35,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Surface Irrigation,69.9,43.5,54.8,7.19,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Drip Irrigation,51.6,43.6,49.8,6.03,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Furrow Irrigation,91.9,57.9,42.2,6.23,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Micro Irrigation,54.4,51.6,38.0,6.87,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Micro Irrigation,94.2,40.1,56.0,6.15,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Subsurface Textile Irrigation,95.7,49.0,45.6,6.16,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Subsurface Textile Irrigation,96.3,57.8,48.4,7.47,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Rotary Irrigation,66.8,49.0,34.7,7.29,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Subsurface Textile Irrigation,54.0,63.5,46.6,6.25,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Flood Irrigation,53.8,41.6,39.5,6.02,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Surface Irrigation,73.8,50.6,58.1,6.57,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Flood Irrigation,92.9,43.1,36.4,6.11,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Rotary Irrigation,77.6,59.2,31.7,6.21,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Center-pivot Irrigation,89.9,41.2,46.1,7.18,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Surface Irrigation,65.5,61.9,58.3,6.82,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,57.9,68.9,31.3,7.47,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Lateral Move Irrigation,85.8,50.6,58.8,7.44,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Flood Irrigation,72.2,63.6,30.3,6.86,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Micro Irrigation,53.6,48.9,36.2,7.23,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Drip Irrigation,97.0,60.1,58.8,6.14,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Lateral Move Irrigation,89.9,41.7,37.9,7.4,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,80.8,48.7,33.1,7.4,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Lateral Move Irrigation,76.1,59.5,52.6,6.22,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Center-pivot Irrigation,59.8,64.9,47.0,7.24,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Micro Irrigation,86.8,45.6,42.4,6.81,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Lateral Move Irrigation,61.0,60.2,52.0,7.17,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,63.7,49.7,39.9,7.4,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Micro Irrigation,56.4,66.9,58.9,6.98,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Lateral Move Irrigation,88.3,63.8,55.3,6.84,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Rotary Irrigation,84.5,48.6,35.4,7.24,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,74.9,45.4,58.0,7.16,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,55.9,59.1,42.5,6.47,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Rotary Irrigation,90.1,49.3,56.4,7.44,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,61.4,51.8,37.9,6.64,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Subsurface Textile Irrigation,99.5,43.5,34.9,6.96,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Drip Irrigation,87.5,46.8,59.5,6.89,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Subsurface Textile Irrigation,73.5,65.7,34.6,6.34,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Micro Irrigation,78.7,44.8,43.4,6.16,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Sprinkler Irrigation,89.1,57.1,57.3,6.07,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Subsurface Textile Irrigation,50.0,43.8,55.1,6.91,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Rotary Irrigation,95.8,44.5,30.2,6.64,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Subsurface Textile Irrigation,95.2,69.0,59.6,7.43,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Subsurface Textile Irrigation,65.8,42.6,35.5,6.83,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Surface Irrigation,82.8,56.3,30.1,6.81,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
Garlic,Lateral Move Irrigation,61.6,57.5,52.9,6.52,Fertilizer plan for Garlic; adjust based on soil test and crop stage.
